ds,yhat,yhat_lower,yhat_upper
1995-01-01,11128.741614135424,10082.656750800223,12433.219287390644
1996-01-01,11558.724376168255,10455.727163211393,12704.261001052484
1997-01-01,11953.395555212526,10835.232912485757,13211.667451602507
1998-01-01,12504.415701641525,11247.302022507853,13856.88126379123
1999-01-01,13096.51984573332,11869.710681588513,14482.330071761762
2000-01-01,13736.911036016018,12420.21115594678,15214.100345345083
2001-01-01,15498.860719533792,13976.118431892062,17143.130412226295
2002-01-01,16401.402661526223,14917.881531390505,18046.91157176078
2003-01-01,17393.644159598105,15853.055251665837,19043.02200276359
2004-01-01,18491.641304683104,16781.409848107527,20449.233562932735
2005-01-01,19112.056850783396,17164.028712252813,21101.24191370204
2006-01-01,20544.356674631086,18568.493463475646,22655.49597705454
2007-01-01,22157.576597856078,20098.01853410378,24347.81962067364
2008-01-01,23986.676633933872,21677.532890914725,26798.123646586053
2009-01-01,21984.77254216544,19944.490306466905,24477.71773433042
2010-01-01,24128.62547552982,21874.348072423396,26791.555232970313
2011-01-01,26607.3607704962,23930.91889627182,29592.182365443936
2012-01-01,29493.18834287451,26588.623480551207,32435.296708515765
2013-01-01,28168.182757635364,25826.096817827496,31445.427365697935
2014-01-01,31750.28276329018,28666.477477918288,34857.02818455878
2015-01-01,36012.711123694266,32588.677055819237,39993.439876704455
2016-01-01,41121.816467592354,37104.214211215665,45617.254658113794
2017-01-01,47055.5053487497,42636.65198857798,51759.142163068405
2018-01-01,54798.40380280346,49226.21692996116,60265.35645039548
2019-01-01,64303.94303642068,58362.51050078781,70928.0233240376
2020-01-01,76061.40775273465,68813.43072217764,83441.61799645473
2021-01-01,97439.81409407237,87986.02279777212,107728.39940833712
2022-01-01,117792.43897544971,106151.74709936869,129589.08359463725
2023-01-01,143596.8543203082,130438.0619756771,158373.25709638835
2023-12-31,162014.23918902106,147095.9425335751,180833.00179004975
2024-12-31,218916.42325627583,198273.50512443096,240320.25950280612
2025-12-31,273754.7172685937,247104.61576637923,302437.18235234864
2026-12-31,345175.2196863397,314820.7173389085,379663.270123588
2027-12-31,438727.8800111096,400165.8267079167,485330.8368722487
2028-12-31,555240.924239949,503206.980366072,619180.8434410181
2029-12-31,719159.593389676,651611.0447853961,790276.8472951754
2030-12-31,937388.46037852,846933.4286065259,1035417.6747194399
