ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,battery_price,battery_price_lower,battery_price_upper,ev_stocks,ev_stocks_lower,ev_stocks_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,solar,solar_lower,solar_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Final_Forecast
2010-01-01,670547.9445889373,60000000,7450,0.0,691206.8882758606,670547.9445889373,670547.9445889373,-596304.6283361928,-596304.6283361928,-596304.6283361928,256169.0829049919,256169.0829049919,256169.0829049919,-2568540.6888917703,-2568540.6888917703,-2568540.6888917703,0.0,-596304.6283361928,-596304.6283361928,1716066.9776505858,1716066.9776505858,1716066.9776505858,0.0,0.0,0.0,74243.31625274452,63106.81881483284
2011-01-01,810228.352679816,60000000,7450,0.0,676870.5174039579,810228.352679816,810228.352679816,-740769.9753999433,-740769.9753999433,-740769.9753999433,210484.17753561764,210484.17753561764,210484.17753561764,-2537112.151921096,-2537112.151921096,-2537112.151921096,0.0,-740769.9753999433,-740769.9753999433,1585857.9989855343,1585857.9989855343,1585857.9989855343,0.0,0.0,0.0,69458.37727987266,59039.62068789176
2012-01-01,978850.4427383144,60000000,7450,0.0,722648.2693988446,978850.4427383144,978850.4427383144,-876361.3804321303,-876361.3804321303,-876361.3804321303,164799.27216624343,164799.27216624343,164799.27216624343,-2491114.740986448,-2491114.740986448,-2491114.740986448,0.0,-876361.3804321303,-876361.3804321303,1449954.088388075,1449954.088388075,1449954.088388075,0.0,0.0,0.0,102489.0623061842,87115.70296025657
2013-01-01,1182799.106498736,60000000,7450,0.0,814602.888474699,1182799.106498736,1182799.106498736,-978479.6777514198,-978479.6777514198,-978479.6777514198,119114.36679686922,119114.36679686922,119114.36679686922,-2408193.260477423,-2408193.260477423,-2408193.260477423,0.0,-978479.6777514198,-978479.6777514198,1310599.215929134,1310599.215929134,1310599.215929134,0.0,0.0,0.0,204319.42874731607,173671.51443521865
2014-01-01,1427801.068281893,60000000,7450,0.0,856175.6337633177,1427801.068281893,1427801.068281893,-1164574.093861504,-1164574.093861504,-1164574.093861504,73429.46142749501,73429.46142749501,73429.46142749501,-2294080.4442363963,-2294080.4442363963,-2294080.4442363963,0.0,-1164574.093861504,-1164574.093861504,1056076.8889473972,1056076.8889473972,1056076.8889473972,0.0,0.0,0.0,263226.9744203889,223742.92825733058
2015-01-01,1722384.709158725,60000000,7450,0.0,1077656.5234513006,1722384.709158725,1722384.709158725,-1278090.6263788224,-1278090.6263788224,-1278090.6263788224,27744.55605812076,27744.55605812076,27744.55605812076,-2144294.1196125373,-2144294.1196125373,-2144294.1196125373,0.0,-1278090.6263788224,-1278090.6263788224,838458.9371755944,838458.9371755944,838458.9371755944,0.0,0.0,0.0,444294.08277990273,377649.9703629173
2016-01-01,2075907.9535578531,60000000,7450,117561.64843593525,1358511.957259941,2075907.9535578531,2075907.9535578531,-1337750.5520524948,-1337750.5520524948,-1337750.5520524948,-10538.88419554478,-10538.88419554478,-10538.88419554478,-1905761.1821687075,-1905761.1821687075,-1905761.1821687075,0.0,-1337750.5520524948,-1337750.5520524948,578549.5143117572,578549.5143117572,578549.5143117572,0.0,0.0,0.0,738157.4015053585,627433.7912795547
2017-01-01,2500458.387338296,60000000,7450,478113.162245695,1693162.4112818807,2500458.387338296,2500458.387338296,-1386443.2811069528,-1386443.2811069528,-1386443.2811069528,-48822.32444921032,-48822.32444921032,-48822.32444921032,-1513952.9689928289,-1513952.9689928289,-1513952.9689928289,0.0,-1386443.2811069528,-1386443.2811069528,176332.01233508647,176332.01233508647,176332.01233508647,0.0,0.0,0.0,1114015.1062313432,946912.8402966417
2018-01-01,3006123.605454253,60000000,7450,1156877.7159903708,2410755.4796277285,3006123.605454253,3006123.605454253,-1208456.8511546643,-1208456.8511546643,-1208456.8511546643,-87105.76470287591,-87105.76470287591,-87105.76470287591,-879093.4398358321,-879093.4398358321,-879093.4398358321,0.0,-1208456.8511546643,-1208456.8511546643,-242257.6466159566,-242257.6466159566,-242257.6466159566,0.0,0.0,0.0,1797666.7542995885,1528016.7411546502
2019-01-01,3607932.168160782,60000000,7450,1980914.8704938467,3153104.1762566296,3607932.168160782,3607932.168160782,-1053652.8737117853,-1053652.8737117853,-1053652.8737117853,-105086.22047534752,-105086.22047534752,-105086.22047534752,-310443.4552586526,-310443.4552586526,-310443.4552586526,0.0,-1053652.8737117853,-1053652.8737117853,-638123.1979777853,-638123.1979777853,-638123.1979777853,0.0,0.0,0.0,2554279.294448997,2171137.400281647
