ds,yhat,yhat_lower,yhat_upper,Final_Forecast
1995-01-01,11128.741614135424,10076.926387899965,12352.32297164204,13910.92701766928
1996-01-01,11558.724376168257,10496.483856361789,12779.4247435103,14448.40547021032
1997-01-01,11953.395555212526,10673.23360129694,13135.038840853147,14941.744444015658
1998-01-01,12504.415701641525,11315.931619273577,13846.313414445342,15630.519627051906
1999-01-01,13096.51984573332,11773.785369942829,14601.819030172664,16370.64980716665
2000-01-01,13736.911036016018,12418.853272412192,15244.052806922718,17171.138795020022
2001-01-01,15498.860719533792,14022.465540410863,17086.74033806543,19373.57589941724
2002-01-01,16401.402661526223,14939.021855008172,18155.72702743549,20501.75332690778
2003-01-01,17393.644159598105,15842.9336674777,19223.415383434207,21742.05519949763
2004-01-01,18491.641304683104,16837.78152689959,20510.750990709894,23114.55163085388
2005-01-01,19112.0568507834,17324.716708652977,20922.70353025684,23890.07106347925
2006-01-01,20544.356674631086,18723.57120535399,22712.673787321623,25680.445843288857
2007-01-01,22157.57659785608,20057.232843379108,24311.704095669444,27696.9707473201
2008-01-01,23986.676633933872,21674.18644764805,26304.3929846652,29983.34579241734
2009-01-01,21984.77254216544,20075.904570683404,24427.684837295717,27480.9656777068
2010-01-01,24128.62547552982,21929.67813406118,26735.349735177,30160.781844412275
2011-01-01,26607.3607704962,24106.7487388581,29256.4011393738,33259.20096312025
2012-01-01,29493.18834287451,26780.362260179936,32522.591984109404,36866.485428593136
2013-01-01,28168.182757635364,25390.595928148967,30966.591112758248,35210.2284470442
2014-01-01,31750.28276329018,28562.28570275314,35163.87613365844,39687.85345411272
2015-01-01,36012.711123694266,32836.09801646224,40324.73112716309,45015.88890461783
2016-01-01,41121.816467592354,37153.897835602445,45649.42437048678,51402.27058449044
2017-01-01,47055.5053487497,42580.09948003298,51820.93154654564,58819.38168593712
2018-01-01,54798.40380280346,49134.94219654286,60684.06243627957,68498.00475350433
2019-01-01,64303.94303642068,58149.56772495935,70668.39752293707,80379.92879552585
2020-01-01,76061.40775273465,68912.95385827354,84267.01553502907,95076.75969091832
2021-01-01,97439.81409407235,88019.08311141051,108011.72823119326,121799.76761759043
2022-01-01,117792.43897544972,106475.4804729694,130182.68474144462,147240.54871931215
2023-01-01,143596.8543203082,130080.2962340741,157693.29639838732,179496.06790038524
2023-12-31,162014.23918902106,145707.48107091666,178223.32609160116,202517.79898627632
2024-12-31,218916.42325627583,197317.32173586256,242628.24632778935,273645.52907034475
2025-12-31,273754.7172685937,249316.49868111144,303940.91160672856,342193.3965857421
2026-12-31,345175.2196863397,311983.5718435859,380037.8883290007,431469.0246079246
2027-12-31,438727.8800111096,398719.50481233554,484705.6059249647,548409.8500138869
2028-12-31,555240.924239949,501829.1781947459,614071.5313745001,694051.1552999362
2029-12-31,719159.593389676,655879.9299732626,791455.6875803369,898949.4917370949
2030-12-31,937388.46037852,846122.0984158069,1030944.8088990472,1171735.57547315
