ds,yhat,yhat_lower,yhat_upper,Final_Forecast
1995-01-01,11128.741614135424,10076.926387899965,12352.32297164204,9459.430372015111
1996-01-01,11558.724376168257,10496.483856361789,12779.4247435103,9824.915719743018
1997-01-01,11953.395555212526,10673.23360129694,13135.038840853147,10160.386221930647
1998-01-01,12504.415701641525,11315.931619273577,13846.313414445342,10628.753346395295
1999-01-01,13096.51984573332,11773.785369942829,14601.819030172664,11132.041868873323
2000-01-01,13736.911036016018,12418.853272412192,15244.052806922718,11676.374380613615
2001-01-01,15498.860719533792,14022.465540410863,17086.74033806543,13174.031611603723
2002-01-01,16401.402661526223,14939.021855008172,18155.72702743549,13941.192262297289
2003-01-01,17393.644159598105,15842.9336674777,19223.415383434207,14784.59753565839
2004-01-01,18491.641304683104,16837.78152689959,20510.750990709894,15717.895108980638
2005-01-01,19112.0568507834,17324.716708652977,20922.70353025684,16245.24832316589
2006-01-01,20544.356674631086,18723.57120535399,22712.673787321623,17462.703173436425
2007-01-01,22157.57659785608,20057.232843379108,24311.704095669444,18833.940108177667
2008-01-01,23986.676633933872,21674.18644764805,26304.3929846652,20388.67513884379
2009-01-01,21984.77254216544,20075.904570683404,24427.684837295717,18687.056660840622
2010-01-01,24128.62547552982,21929.67813406118,26735.349735177,20509.33165420035
2011-01-01,26607.3607704962,24106.7487388581,29256.4011393738,22616.25665492177
2012-01-01,29493.18834287451,26780.362260179936,32522.591984109404,25069.210091443332
2013-01-01,28168.182757635364,25390.595928148967,30966.591112758248,23942.95534399006
2014-01-01,31750.28276329018,28562.28570275314,35163.87613365844,26987.74034879665
2015-01-01,36012.711123694266,32836.09801646224,40324.73112716309,30610.804455140125
2016-01-01,41121.816467592354,37153.897835602445,45649.42437048678,34953.543997453504
2017-01-01,47055.5053487497,42580.09948003298,51820.93154654564,39997.17954643724
2018-01-01,54798.40380280346,49134.94219654286,60684.06243627957,46578.64323238294
2019-01-01,64303.94303642068,58149.56772495935,70668.39752293707,54658.35158095758
2020-01-01,76061.40775273465,68912.95385827354,84267.01553502907,64652.19658982445
2021-01-01,97439.81409407235,88019.08311141051,108011.72823119326,82823.8419799615
2022-01-01,117792.43897544972,106475.4804729694,130182.68474144462,100123.57312913226
2023-01-01,143596.8543203082,130080.2962340741,157693.29639838732,122057.32617226196
2023-12-31,162014.23918902106,145707.48107091666,178223.32609160116,137712.10331066788
2024-12-31,218916.42325627583,197317.32173586256,242628.24632778935,186078.95976783446
2025-12-31,273754.7172685937,249316.49868111144,303940.91160672856,232691.50967830466
2026-12-31,345175.2196863397,311983.5718435859,380037.8883290007,293398.93673338875
2027-12-31,438727.8800111096,398719.50481233554,484705.6059249647,372918.6980094431
2028-12-31,555240.924239949,501829.1781947459,614071.5313745001,471954.7856039566
2029-12-31,719159.593389676,655879.9299732626,791455.6875803369,611285.6543812245
2030-12-31,937388.46037852,846122.0984158069,1030944.8088990472,796780.1913217419
